x_value,total_1,total_2
191,1148,1057
192,1150,1057
193,1152,1060
194,1159,1062
195,1153,1057
196,1159,1060
197,1161,1064
198,1168,1063
199,1162,1059
200,1170,1060
201,1165,1056
202,1172,1055
203,1180,1054
204,1179,1056
205,1186,1062
206,1190,1060
207,1192,1065
208,1196,1065
209,1193,1065
210,1200,1068
211,1197,1065
212,1199,1067
213,1200,1067
214,1196,1067
215,1191,1066
216,1194,1065
217,1190,1061
218,1194,1060
219,1200,1060
220,1196,1055
221,1190,1054
222,1198,1049
223,1195,1047
224,1200,1047
225,1195,1047
226,1195,1043
227,1189,1046
228,1194,1041
229,1197,1039
230,1202,1039
231,1204,1036
232,1198,1042
233,1202,1042
234,1206,1046
235,1213,1052
236,1207,1053
237,1215,1053
238,1217,1048
239,1213,1047
240,1215,1048
241,1213,1048
242,1212,1046
243,1220,1043
244,1226,1048
245,1230,1045
246,1232,1042
247,1235,1038
248,1232,1035
249,1231,1038
250,1235,1044
251,1236,1047
252,1238,1053
253,1234,1050
254,1238,1056
255,1234,1061
256,1232,1061
257,1239,1059
258,1246,1055
259,1254,1058
260,1251,1053
261,1250,1049
262,1244,1049
263,1251,1044
264,1257,1046
265,1262,1048
266,1265,1051
267,1261,1055
268,1264,1056
269,1267,1058
270,1262,1060
271,1265,1060
272,1264,1066
273,1265,1062
274,1268,1064
275,1276,1070
276,1283,1067
277,1282,1063
278,1284,1067
279,1281,1067
280,1284,1068
281,1280,1067
282,1283,1073
283,1283,1077
284,1287,1075
285,1295,1081
286,1293,1085
287,1295,1080
288,1296,1079
289,1291,1081
290,1286,1085
291,1284,1085
292,1283,1081
293,1281,1082
294,1284,1087
295,1281,1093
296,1278,1097
297,1275,1102
298,1278,1107
299,1274,1108
300,1272,1108
301,1280,1109
302,1274,1114
303,1277,1113
304,1276,1119
305,1281,1117
306,1289,1118
307,1284,1123
308,1284,1121
309,1282,1118
310,1285,1115
311,1290,1115
312,1295,1112
313,1299,1116
314,1293,1115
315,1289,1113
316,1291,1116
317,1297,1118
318,1302,1120
319,1299,1123
320,1304,1122
321,1299,1126
322,1298,1128
323,1294,1125
324,1301,1124
325,1295,1128
326,1303,1126
327,1301,1123
328,1295,1119
329,1289,1118
330,1295,1124
331,1301,1126
332,1300,1128
333,1297,1125
334,1305,1127
335,1309,1128
336,1307,1126
337,1304,1128
338,1304,1126
339,1299,1123
340,1294,1126
341,1291,1128
342,1293,1126
343,1291,1123
344,1292,1128
345,1292,1134
346,1290,1131
347,1286,1134
348,1282,1132
349,1280,1138
350,1283,1140
351,1278,1142
352,1278,1139
353,1286,1144
354,1284,1147
355,1288,1151
356,1288,1151
357,1289,1148
358,1286,1152
359,1287,1153
360,1286,1149
361,1283,1150
362,1287,1154
363,1289,1156
364,1286,1157
365,1281,1153
366,1277,1150
367,1271,1145
368,1271,1140
369,1273,1142
370,1273,1141
371,1270,1146
372,1265,1146
373,1264,1146
374,1267,1144
375,1267,1148
376,1261,1149
377,1257,1145
378,1258,1140
379,1256,1146
380,1258,1149
381,1257,1145
382,1255,1143
383,1256,1147
384,1261,1149
385,1255,1146
386,1253,1145
387,1260,1145
388,1264,1142
389,1260,1145
390,1259,1149
391,1263,1153
392,1270,1150
393,1273,1155
394,1271,1152
395,1270,1148
396,1266,1151
397,1271,1147
398,1272,1143
399,1270,1143
400,1265,1147
401,1270,1145
402,1276,1140
403,1279,1139
404,1282,1141
405,1284,1141
406,1287,1143
407,1287,1143
408,1285,1139
409,1289,1136
410,1287,1138
411,1286,1139
412,1284,1145
413,1286,1140
414,1283,1135
415,1286,1132
416,1289,1132
417,1294,1132
418,1292,1127
419,1297,1126
420,1291,1127
421,1292,1129
422,1298,1132
423,1302,1133
424,1308,1137
425,1304,1138
426,1304,1134
427,1306,1134
428,1311,1131
429,1314,1134
430,1318,1134
431,1320,1135
432,1317,1134
433,1316,1136
434,1313,1133
435,1313,1133
436,1307,1137
437,1309,1138
438,1309,1137
439,1309,1142
440,1307,1137
441,1311,1136
442,1316,1139
443,1322,1144
444,1327,1139
445,1324,1145
446,1328,1146
447,1334,1144
448,1337,1140
449,1344,1142
450,1339,1137
451,1345,1137
452,1344,1132
453,1351,1138
454,1348,1141
455,1352,1136
456,1350,1135
457,1346,1132
458,1342,1127
459,1336,1133
460,1344,1135
461,1343,1138
462,1340,1136
463,1336,1141
464,1336,1145
465,1343,1146
466,1339,1149
467,1343,1154
468,1339,1154
469,1334,1157
470,1338,1161
471,1336,1167
472,1334,1163
473,1338,1165
474,1334,1170
475,1341,1172
476,1349,1169
477,1346,1164
478,1341,1159
479,1338,1160
480,1332,1158
481,1328,1163
482,1324,1167
483,1326,1162
484,1322,1162
485,1326,1165
486,1325,1171
487,1332,1169
488,1326,1170
489,1334,1174
490,1338,1169
491,1346,1170
492,1344,1172
493,1348,1175
494,1343,1177
495,1347,1172
496,1343,1171
497,1342,1176
498,1350,1174
499,1345,1177
500,1339,1176
501,1339,1171
502,1338,1171
503,1345,1171
504,1346,1170
505,1348,1171
506,1349,1172
507,1354,1177
508,1349,1176
